Parts;Qty;"Don't Put Opt";Value;Package;Description;MPN
D1;1;;Red LED;0805;LED err;
D2;2;;Yellow LED;0805;LED rx;
D3;2;;Green LED;0805;LED tx;
R1, R2, R3;3;;1k;0805;Resistor;
C1, C3;2;;10u;0805;capacitor;
C2, C4;2;;100n;0805;capacitor;
U1;1;;RFM69HW;RFM69HW;Hoperf radio;
R1, R2, R3;3;;1k;0805;Resistor;
R4;1;X;0R;0805;Resistor;
U2;1;X;NRF24L01;NRF24L01;2.4ghz radio;
U3;1;;AP1117;3.3v;sot23;3.3v regulator;
J1;1;;SMA connector;SMA connector;;
J2;1;;2x20 pinheader;Female header 2.54mm;;
J3;1;X;Antenna;;;
